words	interaction_word	label
"  ( s )   upon stimulation via the "	"stimulation"	1
" released in response to the anti -  "	""	1
" had no effect on the levels of PROTX0 released in response to the anti -  "	"effect"	1
" had no effect on the levels of "	"effect"	1
" released in response to the anti -  "	""	1
" or PROTX0 had no effect on the levels of PROTX0 released in response to the anti -  "	"effect"	1
" or PROTX0 had no effect on the levels of "	"effect"	1
" released in response to the anti -  "	""	1
" in the induction of both "	"induction"	1
" in the induction of both PROTX0 and "	"induction"	1
" mAb induced adhered human monocytes to release "	"adhered"	1
" was undetectable following incubation with the anti -  "	"incubation"	1
" was undetectable following incubation with the anti -  PROTX0 or anti -  "	"incubation"	1
" induced "	"induced"	1
" induced PROTX0 production from adhered human monocytes ,  and this was inhibited by the presence of a neutralizing anti -  "	"adhered"	1
" production from adhered human monocytes ,  and this was inhibited by the presence of a neutralizing anti -  "	"adhered"	1
" production may require the ligation of either 3 PROTX1 receptors or only 2 "	"require"	1
" production following "	""	1
" ligation appears to be dependent on the presence of "	"ligation"	1
" production following PROTX0 ligation appears to be dependent on the presence of "	"ligation"	1
" - activated "	"activated"	1
" - activated PROTX0 kinase physical associates with PROTX2  (  "	"associates"	1
" kinase physical associates with PROTX2  (  "	"associates"	1
" treatment triggers a rapid  ( 10 min )  translocation of "	"translocation"	1
" - induced physical interaction between PROTX2 and PROTX0 ,  PROTX0 ,  and PROTX0 ,  and among "	"interaction"	1
" - induced physical interaction between PROTX0 and PROTX2 ,  PROTX2 ,  and PROTX0 ,  and among PROTX0 ,  "	"interaction"	1
" and PROTX2 ,  PROTX2 ,  and PROTX0 ,  and among PROTX1 ,  "	""	1
" and PROTX2 ,  PROTX2 ,  and PROTX0 ,  and among PROTX1 ,  "	""	1
" - induced physical interaction between PROTX0 and PROTX2 ,  PROTX2 ,  and PROTX0 ,  and among PROTX0 ,  "	"interaction"	1
" - induced physical interaction between PROTX0 and PROTX0 ,  PROTX0 ,  and PROTX2 ,  and among PROTX0 ,  PROTX0 ,  and "	"interaction"	1
" ,  PROTX1 ,  and PROTX2 ,  and among PROTX0 ,  PROTX1 ,  and "	""	1
" ,  PROTX1 ,  and PROTX2 ,  and among PROTX0 ,  PROTX1 ,  and "	""	1
" - induced physical interaction between PROTX2 and PROTX0 ,  PROTX0 ,  and PROTX0 ,  and among "	"interaction"	1
" - induced physical interaction between PROTX0 and PROTX2 ,  PROTX2 ,  and PROTX0 ,  and among PROTX0 ,  "	"interaction"	1
" - induced physical interaction between PROTX0 and PROTX0 ,  PROTX0 ,  and PROTX2 ,  and among PROTX0 ,  PROTX0 ,  and "	"interaction"	1
" and PROTX2 ,  PROTX2 ,  and PROTX0 ,  and among PROTX1 ,  "	""	1
